#,Citation ID,Citaton Type,Standard,Issuance Date,Abatement Due Date,Current Penalty,Initial Penalty,FTA Penalty,Contest,Latest Event,Note,activity_code
3.0,1003,Willful,19100176 B,08/11/2022,08/30/2022,"$136,736","$136,736",$0,08/26/2022,C - Contested,,1585315.015
4.0,1004,Willful,19100303 G01 II,08/11/2022,08/30/2022,"$136,736","$136,736",$0,08/26/2022,C - Contested,,1585315.015
5.0,2001,Repeat,19100305 G01 IV A,08/11/2022,,"$91,157","$91,157",$0,08/26/2022,C - Contested,,1585315.015
1.0,1001,Other,19100303 G01,04/19/2022,05/23/2022,$0,$0,$0,,Z - Issued,,1582871.015
1.0,1001,Other,19100157 E02,05/31/2022,06/20/2022,$0,$0,$0,,Z - Issued,,1580600.015
1.0,1001,Repeat,19100022 A01,08/11/2022,09/14/2022,"$145,027","$145,027",$0,08/26/2022,C - Contested,,1578203.015
2.0,1002,Repeat,19100037 A03,08/11/2022,09/14/2022,"$145,027","$145,027",$0,08/26/2022,C - Contested,,1578203.015
1.0,1001,Serious,19100176 A,04/29/2022,05/11/2022,"$14,502","$14,502",$0,,I - Informal Settlement,Citation has been deleted.,1575910.015
2.0,1002,Other,19100178 L04 III,04/29/2022,05/11/2022,"$5,000","$14,502",$0,,I - Informal Settlement,,1575910.015
1.0,01001A,Other,408.10831(1),01/19/2022,,$0,$0,$0,,Z - Issued,,1571838.015
2.0,01001B,Other,408.10835(3),01/19/2022,,$0,$0,$0,,Z - Issued,,1571838.015
1.0,1001,Repeat,19100303 G01 II,05/23/2022,,"$41,019","$68,365",$0,,I - Informal Settlement,,1572077.015
1.0,01001A,Repeat,19100037 A03,06/27/2022,07/22/2022,"$136,741","$136,741",$0,08/26/2022,C - Contested,,1570337.015
2.0,01001B,Repeat,19100036 G02,06/27/2022,07/22/2022,$0,$0,$0,08/26/2022,C - Contested,,1570337.015
1.0,01001A,Other,19040039 A01,01/28/2022,,"$6,500","$10,360",$0,,I - Informal Settlement,,1568259.015
2.0,01001B,Other,19040039 A02,01/28/2022,,$0,$0,$0,,I - Informal Settlement,,1568259.015
1.0,1001,Repeat,19100037 A03,04/26/2022,05/09/2022,"$18,000","$18,000",$0,,Z - Issued,,1567718.015
2.0,2001,Serious,19100157 C01,04/26/2022,05/09/2022,"$2,700","$2,700",$0,,Z - Issued,,1567718.015
3.0,2002,Serious,19100303 G01 I A,04/26/2022,05/09/2022,"$6,300","$6,300",$0,,Z - Issued,,1567718.015
4.0,3001,Other,19100022 A01,04/26/2022,05/09/2022,$0,$0,$0,,Z - Issued,,1567718.015
1.0,01001,Other,19100036 H02,05/20/2022,06/24/2022,$0,"$9,116",$0,,I - Informal Settlement,,1565322.015
2.0,02001A,Repeat,19100036 G02,05/20/2022,05/31/2022,"$102,556","$136,741",$0,,I - Informal Settlement,,1565322.015
3.0,02001B,Repeat,19100037 A03,05/20/2022,05/31/2022,$0,$0,$0,,I - Informal Settlement,,1565322.015
1.0,1001,Repeat,19100037 A03,03/10/2022,03/18/2022,"$25,200","$31,500",$0,,I - Informal Settlement,,1564582.015
2.0,2001,Serious,19100022 A01,03/10/2022,03/18/2022,"$4,320","$5,400",$0,,I - Informal Settlement,,1564582.015
3.0,2002,Serious,19100303 G01 I A,03/10/2022,03/18/2022,"$3,600","$4,500",$0,,I - Informal Settlement,,1564582.015
1.0,1001,Repeat,19100037 A03,03/17/2022,03/23/2022,"$2,279","$2,279",$0,,Z - Issued,,1565904.015
1.0,01001,Serious,19100157 C01,01/21/2022,02/23/2022,"$1,105","$1,700",$0,,I - Informal Settlement,,1560126.015
2.0,01002,Serious,19100303 G01 II,01/21/2022,01/25/2022,"$1,105","$1,700",$0,,I - Informal Settlement,,1560126.015
3.0,02001A,Other,19030002 A02,01/21/2022,01/25/2022,$552,$850,$0,,I - Informal Settlement,,1560126.015
4.0,02001B,Other,19040040 A,01/21/2022,01/25/2022,$0,$0,$0,,Z - Issued,,1560126.015
1.0,01001A,Serious,19100141 C01 I,11/10/2021,11/18/2021,"$3,511","$5,851",$0,,I - Informal Settlement,,1559982.015
2.0,01001B,Serious,19100141 D02 II,11/10/2021,11/18/2021,$0,"$7,802",$0,,I - Informal Settlement,,1559982.015
3.0,01001C,Serious,19100141 D02 IV,11/10/2021,11/18/2021,$0,$0,$0,,I - Informal Settlement,,1559982.015
4.0,02001,Other,19100141 A05,11/10/2021,11/17/2021,$0,$0,$0,,I - Informal Settlement,,1559982.015
1.0,1001,Willful,19100022 A01,02/23/2022,,"$102,552","$136,736",$0,,I - Informal Settlement,,1551005.015
2.0,1002,Willful,19100176 B,02/23/2022,,"$102,552","$136,736",$0,,I - Informal Settlement,,1551005.015
3.0,2001,Repeat,19100037 A03,02/23/2022,,"$68,368","$91,157",$0,,I - Informal Settlement,,1551005.015
1.0,1001,Repeat,19040040 A,02/18/2022,02/22/2022,"$3,250","$5,000",$0,,I - Informal Settlement,,1550140.015
1.0,1001,Serious,19100025 C02,09/24/2021,,"$2,842","$5,683",$0,,I - Informal Settlement,,1545894.015
2.0,1002,Serious,19100028 B11 II,09/24/2021,,"$2,842","$5,683",$0,,I - Informal Settlement,,1545894.015
1.0,01001A,Serious,19101200 E01,01/14/2022,02/25/2022,"$4,000","$4,000",$0,,Z - Issued,,1466752.015
2.0,01001B,Serious,408.1014J,01/14/2022,02/25/2022,$0,$0,$0,,Z - Issued,,1466752.015
3.0,01001C,Serious,408.13312(1),01/14/2022,02/25/2022,$0,$0,$0,,Z - Issued,,1466752.015
4.0,01001D,Serious,325.47201(3),01/14/2022,02/25/2022,$0,$0,$0,,Z - Issued,,1466752.015
5.0,02001A,Other,RULE 4(1),01/14/2022,,$0,$0,$0,,Z - Issued,,1466752.015
6.0,02001B,Other,RULE 11(1),01/14/2022,,$0,$0,$0,,Z - Issued,,1466752.015
1.0,1001,Repeat,19100036 G02,10/26/2021,11/22/2021,"$60,000","$85,822",$0,,I - Informal Settlement,,1535655.015
1.0,1001,Other,3225(A),09/21/2021,,$800,$800,$0,,Z - Issued,,1524910.015
2.0,1002,Other,3272(B),09/21/2021,,$800,$800,$0,,Z - Issued,,1524910.015
1.0,1001,Other,19100141 A03 I,05/27/2021,07/02/2021,$200,$200,$0,,Z - Issued,,1522252.015
1.0,1001,Repeat,19100037 A03,06/01/2021,06/29/2021,"$75,000","$107,283",$0,,I - Informal Settlement,,1517332.015
1.0,1001,Serious,5A0001,07/19/2021,,"$7,510","$10,728",$0,,I - Informal Settlement,,1516101.015
1.0,1001,Other,19100305 G01 IV C,04/05/2021,,$0,$0,$0,,Z - Issued,,1510662.015
1.0,1001,Other,19100037 A03,05/04/2021,05/10/2021,$0,$0,$0,,Z - Issued,,1511904.015
2.0,1002,Other,19100305 G01 IV C,05/04/2021,05/10/2021,$0,$0,$0,,Z - Issued,,1511904.015
1.0,01001A,Serious,16VAC25-220-60.C.1.A,06/07/2021,07/13/2021,"$4,491","$6,415",$0,,I - Informal Settlement,,1509745.015
2.0,01001B,Serious,16VAC25-220-60.C.1.K,06/07/2021,07/13/2021,$0,$0,$0,,I - Informal Settlement,,1509745.015
1.0,01001A,Repeat,19100037 A03,04/20/2021,05/14/2021,"$65,000","$85,822",$0,,I - Informal Settlement,,1500289.015
2.0,01001B,Repeat,19100303 G01 II,04/20/2021,05/14/2021,$0,$0,$0,,I - Informal Settlement,,1500289.015
3.0,01002,Repeat,19100036 G02,04/20/2021,05/14/2021,"$25,000","$42,911",$0,,I - Informal Settlement,,1500289.015
1.0,01001A,Willful,19100022 A01,02/23/2021,,"$90,000","$128,726",$0,,I - Informal Settlement,,1498759.015
2.0,01001B,Willful,19100037 A03,02/23/2021,,$0,$0,$0,,I - Informal Settlement,,1498759.015
1.0,1001,Willful,19100022 A01,02/23/2021,03/19/2021,"$90,000","$128,726",$0,,I - Informal Settlement,,1492446.015
1.0,1001,Serious,3203(A)(3),01/20/2021,02/01/2021,"$9,000","$22,500",$0,02/05/2021,F - Formal Settlement,,1487770.015
1.0,1001,Serious,19100132 D01,01/26/2021,02/18/2021,"$5,724","$6,300",$0,,I - Informal Settlement,,1487012.015
2.0,1002,Serious,19100147 C04 II B,01/26/2021,02/03/2021,"$5,724","$6,300",$0,,I - Informal Settlement,,1487012.015
3.0,1003,Serious,19100147 F03 II D,01/26/2021,02/01/2021,"$5,724","$6,300",$0,,I - Informal Settlement,,1487012.015
4.0,1004,Serious,19100333 A01,01/26/2021,02/01/2021,"$5,724","$6,300",$0,,I - Informal Settlement,,1487012.015
5.0,1005,Serious,19100333 B02 I,01/26/2021,02/01/2021,"$5,724","$6,300",$0,,I - Informal Settlement,,1487012.015
6.0,1006,Serious,19100333 B02 II B,01/26/2021,02/01/2021,"$3,924","$4,500",$0,,I - Informal Settlement,,1487012.015
7.0,1007,Serious,19100333 B02 III A,01/26/2021,02/01/2021,"$5,724","$6,300",$0,,I - Informal Settlement,,1487012.015
8.0,1008,Serious,19100335 A01 I,01/26/2021,02/01/2021,"$5,724","$6,300",$0,,I - Informal Settlement,,1487012.015
9.0,1009,Serious,19100335 A01 V,01/26/2021,02/01/2021,"$3,924","$4,500",$0,,I - Informal Settlement,,1487012.015
10.0,1010,Serious,19101030 F02 I,01/26/2021,02/05/2021,"$3,924","$4,500",$0,,I - Informal Settlement,,1487012.015
11.0,2001,Other,19100157 C04,01/26/2021,02/18/2021,$0,$0,$0,,Z - Issued,,1487012.015
12.0,2002,Other,19100305 B02 I,01/26/2021,02/05/2021,$0,$0,$0,,Z - Issued,,1487012.015
1.0,1001,Repeat,19100037 A03,08/14/2020,,"$57,500","$84,821",$0,,I - Informal Settlement,,1483184.015
2.0,1002,Repeat,19100303 G01 II,08/14/2020,,"$57,500","$84,821",$0,,I - Informal Settlement,,1483184.015
1.0,1001,Other,19100037 A03,04/09/2020,04/27/2020,$200,$200,$0,,Z - Issued,,1469985.015
1.0,01001,Serious,19100303 B01,03/30/2020,04/16/2020,"$8,096","$13,494",$0,06/09/2020,F - Formal Settlement,,1467642.015
2.0,01002A,Serious,19101001 J03 I,03/30/2020,04/23/2020,"$8,096","$13,494",$0,06/09/2020,F - Formal Settlement,,1467642.015
3.0,01002B,Serious,19101001 J03 III,03/30/2020,04/23/2020,$0,$0,$0,06/09/2020,F - Formal Settlement,,1467642.015
4.0,01002C,Serious,19101001 J05 I,03/30/2020,04/23/2020,$0,$0,$0,06/09/2020,F - Formal Settlement,,1467642.015
5.0,01002D,Serious,19101001 J07 IV,03/30/2020,04/23/2020,$0,$0,$0,06/09/2020,F - Formal Settlement,,1467642.015
6.0,01002E,Serious,19101001 K08,03/30/2020,04/23/2020,$0,$0,$0,06/09/2020,F - Formal Settlement,,1467642.015
7.0,02001,Repeat,19040032 A04,03/30/2020,04/09/2020,"$2,545","$4,242",$0,06/09/2020,F - Formal Settlement,,1467642.015
1.0,1001,Repeat,19100037 A03,08/05/2020,,"$54,000","$134,937",$0,,I - Informal Settlement,,1461290.015
2.0,1002,Repeat,19100141 A05,08/05/2020,10/09/2020,"$19,240","$48,195",$0,,I - Informal Settlement,,1461290.015
3.0,1003,Repeat,19100157 C01,08/05/2020,,"$23,150","$57,830",$0,,I - Informal Settlement,,1461290.015
1.0,1001,Repeat,19100037 A03,04/15/2020,,"$38,000","$63,613",$0,,I - Informal Settlement,,1459326.015
1.0,1001,Serious,5A0001,06/17/2020,,"$8,096","$13,494",$0,,I - Informal Settlement,,1455352.015
1.0,1001,Other,3203(A),02/12/2020,04/01/2020,$420,$420,$0,,I - Informal Settlement,,1455290.015
2.0,1002,Other,3220(B),02/12/2020,04/01/2020,$280,$280,$0,,I - Informal Settlement,Citation has been deleted.,1455290.015
1.0,1001,Serious,19100178 L01 I,04/21/2020,,"$8,096","$13,494",$0,,Z - Issued,,1453100.015
1.0,1001,Other,19100037 B06,02/14/2020,02/24/2020,$0,$0,$0,,Z - Issued,,1451004.015
2.0,1002,Other,19100303 G01,02/14/2020,02/18/2020,$0,$0,$0,,Z - Issued,,1451004.015
1.0,1001,Serious,19100036 G02,03/26/2020,04/10/2020,"$4,665","$8,482",$0,,I - Informal Settlement,,1450479.015
2.0,1002,Repeat,19100157 C01,03/26/2020,04/10/2020,"$4,250","$10,604",$0,,I - Informal Settlement,,1450479.015
3.0,1003,Repeat,19100157 E03,03/26/2020,04/10/2020,"$1,165","$2,118",$0,,I - Informal Settlement,,1450479.015
4.0,1004,Repeat,19100176 B,03/26/2020,04/10/2020,"$2,916","$5,302",$0,,I - Informal Settlement,,1450479.015
1.0,1001,Serious,19100036 G02,03/18/2020,,"$4,665","$8,482",$0,,I - Informal Settlement,,1439273.015
2.0,2001,Repeat,19100022 A01,03/18/2020,04/16/2020,"$34,987","$63,613",$0,,I - Informal Settlement,,1439273.015
3.0,2002,Repeat,19100157 E03,03/18/2020,04/16/2020,"$2,329","$4,235",$0,,I - Informal Settlement,,1439273.015
4.0,3001,Other,19100304 F01 VIII,03/18/2020,04/16/2020,$0,$0,$0,,I - Informal Settlement,,1439273.015
1.0,1001,Repeat,19100022 A01,03/13/2020,,"$34,987","$63,613",$0,,I - Informal Settlement,,1436276.015
2.0,1002,Serious,19100036 G02,03/13/2020,,"$4,665","$8,482",$0,,I - Informal Settlement,,1436276.015
1.0,1001,Other,19040040 A,10/04/2019,11/08/2019,$0,"$1,000",$0,,I - Informal Settlement,,1427131.015
1.0,1001,Serious,19100157 G02,09/06/2019,09/13/2019,"$3,315","$9,472",$0,,I - Informal Settlement,,1422645.015
2.0,2001,Repeat,19100037 A03,09/06/2019,09/13/2019,"$89,503","$132,598",$0,,I - Informal Settlement,,1422645.015
1.0,1001,Other,19100303 G01,01/15/2020,01/22/2020,$0,$0,$0,,Z - Issued,,1421761.015
1.0,1001,Other,3363(A),11/04/2019,06/29/2020,$450,$560,$0,12/02/2019,O - Administrative Law Judge Order,,1417285.015
1.0,1001,Other,19100022 A02,05/30/2019,06/14/2019,$0,$0,$0,,Z - Issued,,1403214.015
1.0,1001,Other,19040040 A,05/14/2019,06/13/2019,"$1,043","$2,085",$0,,I - Informal Settlement,,1395846.015
1.0,1001,Other,TDLWD RULE 800-01-03-.05(2)(A),05/03/2019,,$700,$700,$0,,Z - Issued,,1390605.015
1.0,1001,Other,19100303 G01,04/22/2019,05/06/2019,$0,$0,$0,,Z - Issued,,1381030.015
1.0,01001A,Other,19100022 A01,02/20/2019,03/27/2019,$0,$0,$0,,Z - Issued,,1375565.015
2.0,01001B,Other,19100141 A05,02/20/2019,03/27/2019,$0,$0,$0,,Z - Issued,,1375565.015
3.0,01002,Other,19100037 B02,02/20/2019,03/04/2019,$0,$0,$0,,Z - Issued,,1375565.015
4.0,01003,Other,19100157 C01,02/20/2019,03/04/2019,$0,$0,$0,,Z - Issued,,1375565.015
1.0,1001,Repeat,19100037 A03,02/05/2019,04/15/2019,"$45,000","$83,347",$0,,I - Informal Settlement,,1352167.015
1.0,1001,Other,19101200 H02,12/05/2018,12/18/2018,$0,$0,$0,,Z - Issued,,1348061.015
1.0,1001,Other,19040039 A02,11/05/2018,,"$4,620","$9,239",$0,,I - Informal Settlement,,1336307.015
1.0,1001,Serious,19100176 A,10/10/2018,12/07/2018,"$12,934","$71,137",$0,,I - Informal Settlement,,1329056.015
1.0,1001,Other,19101200 G08,07/11/2018,,$0,$0,$0,,Z - Issued,,1323162.015
1.0,1001,Repeat,19100036 G02,08/03/2018,08/22/2018,"$32,000","$46,195",$0,,I - Informal Settlement,,1301615.015
2.0,1002,Repeat,19100303 G01 II,08/03/2018,,"$18,000","$27,715",$0,,I - Informal Settlement,,1301615.015
3.0,2001,Other,19100037 B02,08/03/2018,08/22/2018,$0,$0,$0,,I - Informal Settlement,,1301615.015
1.0,1001,Repeat,19100022 A01,01/08/2018,02/06/2018,"$18,292","$30,487",$0,,I - Informal Settlement,,1283802.015
2.0,1002,Repeat,19100305 G01 IV A,01/08/2018,02/06/2018,"$6,652","$30,487",$0,,I - Informal Settlement,,1283802.015
1.0,01001A,Serious,19100303 G01,12/20/2017,,"$3,000","$4,889",$0,02/16/2018,J - ALJ Decision,,1280975.015
2.0,01001B,Serious,19100305 B01 II,12/20/2017,,$0,$0,$0,02/16/2018,J - ALJ Decision,,1280975.015
1.0,1001,Other,19100022 A01,10/11/2017,11/15/2017,$200,$200,$0,,Z - Issued,,1265352.015
1.0,1001,Other,19040032 A04,04/25/2017,,"$2,000","$3,984",$0,07/03/2017,F - Formal Settlement,,1225250.015
1.0,1001,Other,19100141 A05,05/25/2017,06/27/2017,$0,"$1,500",$0,,I - Informal Settlement,,1226089.015
1.0,1001,Other,19040029 B03,02/06/2017,02/10/2017,"$1,000","$1,000",$0,,Z - Issued,,1203374.015
1.0,1001,Repeat,19100303 G01 II,07/05/2017,07/31/2017,"$36,000","$59,752",$0,,I - Informal Settlement,,1201133.015
2.0,2001,Other,19100036 G04,07/05/2017,,$0,$0,$0,,I - Informal Settlement,,1201133.015
1.0,1001,Other,19100022 D01,02/02/2017,03/22/2017,$0,$0,$0,,Z - Issued,,1200685.015
1.0,1001,Repeat,19100037 A03,02/22/2017,03/27/2017,"$54,324","$90,540",$0,,I - Informal Settlement,,1195208.015
1.0,01001A,Other,19100037 B01,05/18/2017,07/06/2017,$0,"$9,959",$0,,I - Informal Settlement,,1192554.015
2.0,01001B,Other,19100037 B06,05/18/2017,,$0,$0,$0,,I - Informal Settlement,,1192554.015
3.0,02001,Repeat,19100037 A03,05/18/2017,07/06/2017,"$68,000","$99,594",$0,,I - Informal Settlement,,1192554.015
1.0,1001,Repeat,19100037 A03,03/03/2017,,"$88,724","$126,749",$0,,I - Informal Settlement,,1184028.015
