Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code
Current Violations,,,2,,,2,1507692.015
Initial Penalty,$0,$0,"$128,722",$0,$0,"$128,722",1507692.015
Current Penalty,$0,$0,"$90,105",$0,$0,"$90,105",1507692.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1507692.015
Initial Violations,,,1,1,,2,1492118.015
Current Violations,,,1,1,,2,1492118.015
Initial Penalty,$0,$0,"$10,604",$0,$0,"$10,604",1492118.015
Current Penalty,$0,$0,"$6,892",$0,$0,"$6,892",1492118.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1492118.015
Initial Violations,1,,,2,,3,1489749.015
Current Violations,1,,,2,,3,1489749.015
Initial Penalty,"$7,104",$0,$0,$0,$0,"$7,104",1489749.015
Current Penalty,"$3,552",$0,$0,$0,$0,"$3,552",1489749.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1489749.015
Initial Violations,,,2,,,2,1455672.015
Current Violations,,,2,,,2,1455672.015
Initial Penalty,$0,$0,"$19,280",$0,$0,"$19,280",1455672.015
Current Penalty,$0,$0,"$13,000",$0,$0,"$13,000",1455672.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1455672.015
Initial Violations,,,1,,,1,1453868.015
Current Violations,,,1,,,1,1453868.015
Initial Penalty,$0,$0,"$106,029",$0,$0,"$106,029",1453868.015
Current Penalty,$0,$0,"$53,015",$0,$0,"$53,015",1453868.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1453868.015
Initial Violations,,,,2,,2,1451004.015
Current Violations,,,,2,,2,1451004.015
Initial Penalty,$0,$0,$0,$0,$0,$0,1451004.015
Current Penalty,$0,$0,$0,$0,$0,$0,1451004.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1451004.015
Initial Violations,3,,,,,3,1446881.015
Current Violations,3,,,,,3,1446881.015
Initial Penalty,"$4,050",$0,$0,$0,$0,"$4,050",1446881.015
Current Penalty,"$2,631",$0,$0,$0,$0,"$2,631",1446881.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1446881.015
Initial Violations,,,,2,,2,1446325.015
Current Violations,,,,2,,2,1446325.015
Initial Penalty,$0,$0,$0,"$2,380",$0,"$2,380",1446325.015
Current Penalty,$0,$0,$0,"$1,428",$0,"$1,428",1446325.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1446325.015
Initial Violations,,,1,,,1,1401913.015
Current Violations,,,1,,,1,1401913.015
Initial Penalty,$0,$0,$416,$0,$0,$416,1401913.015
Current Penalty,$0,$0,$416,$0,$0,$416,1401913.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1401913.015
Initial Violations,,,,1,,1,1393851.015
Current Violations,,,,1,,1,1393851.015
Initial Penalty,$0,$0,$0,$0,$0,$0,1393851.015
Current Penalty,$0,$0,$0,$0,$0,$0,1393851.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1393851.015
Initial Violations,,,2,,,2,1376785.015
Current Violations,,,2,,,2,1376785.015
Initial Penalty,$0,$0,$832,$0,$0,$832,1376785.015
Current Penalty,$0,$0,$832,$0,$0,$832,1376785.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1376785.015
Initial Violations,1,,,,,1,1372897.015
Current Violations,1,,,,,1,1372897.015
Initial Penalty,"$5,000",$0,$0,$0,$0,"$5,000",1372897.015
Current Penalty,"$2,500",$0,$0,$0,$0,"$2,500",1372897.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1372897.015
Initial Violations,1,,2,,,3,1333332.015
Current Violations,1,,2,,,3,1333332.015
Initial Penalty,"$6,097",$0,"$60,974",$0,$0,"$67,071",1333332.015
Current Penalty,"$3,535",$0,"$30,000",$0,$0,"$33,535",1333332.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1333332.015
Initial Violations,,,,2,,2,1332824.015
Current Violations,,,,1,,1,1332824.015
Initial Penalty,$0,$0,$0,$0,$0,$0,1332824.015
Current Penalty,$0,$0,$0,$0,$0,$0,1332824.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1332824.015
Initial Violations,,2,,,,2,1333021.015
Current Violations,,2,,,,2,1333021.015
Initial Penalty,$0,"$20,326",$0,$0,$0,"$20,326",1333021.015
Current Penalty,$0,"$15,244",$0,$0,$0,"$15,244",1333021.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1333021.015
Initial Violations,1,,,,,1,1316798.015
Current Violations,1,,,,,1,1316798.015
Initial Penalty,"$9,146",$0,$0,$0,$0,"$9,146",1316798.015
Current Penalty,"$5,488",$0,$0,$0,$0,"$5,488",1316798.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1316798.015
Initial Violations,,,1,,,1,1279451.015
Current Violations,,,1,,,1,1279451.015
Initial Penalty,$0,$0,"$1,991",$0,$0,"$1,991",1279451.015
Current Penalty,$0,$0,"$1,394",$0,$0,"$1,394",1279451.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1279451.015
Initial Violations,,,2,3,,5,1263006.015
Current Violations,,,2,2,,4,1263006.015
Initial Penalty,$0,$0,"$123,794",$0,$0,"$123,794",1263006.015
Current Penalty,$0,$0,"$80,000",$0,$0,"$80,000",1263006.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1263006.015
Initial Violations,,,,1,,1,1200610.015
Current Violations,,,,1,,1,1200610.015
Initial Penalty,$0,$0,$0,"$1,118",$0,"$1,118",1200610.015
Current Penalty,$0,$0,$0,$559,$0,$559,1200610.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1200610.015
Initial Violations,,,4,1,,5,1198147.015
Current Violations,,,3,,,3,1198147.015
Initial Penalty,$0,$0,"$79,674",$0,$0,"$79,674",1198147.015
Current Penalty,$0,$0,"$50,000",$0,$0,"$50,000",1198147.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1198147.015
Initial Violations,1,,,,,1,1188854.015
Current Violations,1,,,,,1,1188854.015
Initial Penalty,"$5,975",$0,$0,$0,$0,"$5,975",1188854.015
Current Penalty,"$3,585",$0,$0,$0,$0,"$3,585",1188854.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1188854.015
Initial Violations,,,3,,,3,1167163.015
Current Violations,,,2,,,2,1167163.015
Initial Penalty,$0,$0,"$156,772",$0,$0,"$156,772",1167163.015
Current Penalty,$0,$0,"$105,820",$0,$0,"$105,820",1167163.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1167163.015
Initial Violations,,,1,,,1,1132286.015
Current Violations,,,1,,,1,1132286.015
Initial Penalty,$0,$0,$440,$0,$0,$440,1132286.015
Current Penalty,$0,$0,$300,$0,$0,$300,1132286.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1132286.015
Initial Violations,1,,,1,,2,1123994.015
Current Violations,1,,,1,,2,1123994.015
Initial Penalty,"$2,550",$0,$0,$850,$0,"$3,400",1123994.015
Current Penalty,"$2,000",$0,$0,$0,$0,"$2,000",1123994.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1123994.015
Initial Violations,1,,,,,1,1121762.015
Current Violations,1,,,,,1,1121762.015
Initial Penalty,"$1,200",$0,$0,$0,$0,"$1,200",1121762.015
Current Penalty,$780,$0,$0,$0,$0,$780,1121762.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1121762.015
Initial Violations,1,,3,1,,5,1114508.015
Current Violations,1,,3,1,,5,1114508.015
Initial Penalty,"$3,300",$0,"$66,000",$0,$0,"$69,300",1114508.015
Current Penalty,"$2,000",$0,"$53,000",$0,$0,"$55,000",1114508.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1114508.015
Initial Violations,6,2,,1,,9,1082459.015
Current Violations,3,2,,4,,9,1082459.015
Initial Penalty,"$23,000","$140,000",$0,$0,$0,"$163,000",1082459.015
Current Penalty,"$6,000","$98,000",$0,"$5,500",$0,"$109,500",1082459.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1082459.015
Initial Violations,2,,,,,2,1079844.015
Current Violations,2,,,,,2,1079844.015
Initial Penalty,"$6,000",$0,$0,$0,$0,"$6,000",1079844.015
Current Penalty,"$3,600",$0,$0,$0,$0,"$3,600",1079844.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1079844.015
Initial Violations,1,,,,,1,1083884.015
Current Violations,,,,1,,1,1083884.015
Initial Penalty,"$6,000",$0,$0,$0,$0,"$6,000",1083884.015
Current Penalty,$0,$0,$0,"$4,200",$0,"$4,200",1083884.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1083884.015
Initial Violations,,,1,1,,2,1062209.015
Current Violations,,,1,1,,2,1062209.015
Initial Penalty,$0,$0,"$55,000","$1,100",$0,"$56,100",1062209.015
Current Penalty,$0,$0,"$27,500",$550,$0,"$28,050",1062209.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1062209.015
Initial Violations,1,,,,,1,317843498.0
Current Violations,1,,,,,1,317843498.0
Initial Penalty,"$3,750",$0,$0,$0,$0,"$3,750",317843498.0
Current Penalty,"$2,450",$0,$0,$0,$0,"$2,450",317843498.0
FTA Penalty,$0,$0,$0,$0,$0,$0,317843498.0
Initial Violations,,,1,,,1,317403848.0
Current Violations,,,1,,,1,317403848.0
Initial Penalty,$0,$0,"$10,000",$0,$0,"$10,000",317403848.0
Current Penalty,$0,$0,"$5,000",$0,$0,"$5,000",317403848.0
FTA Penalty,$0,$0,$0,$0,$0,$0,317403848.0
Initial Violations,,,,2,,2,316785211.0
Current Violations,,,,2,,2,316785211.0
Initial Penalty,$0,$0,$0,$0,$0,$0,316785211.0
Current Penalty,$0,$0,$0,$0,$0,$0,316785211.0
FTA Penalty,$0,$0,$0,$0,$0,$0,316785211.0
Initial Violations,1,,,2,,3,317275378.0
Current Violations,1,,,2,,3,317275378.0
Initial Penalty,"$4,000",$0,$0,"$2,400",$0,"$6,400",317275378.0
Current Penalty,"$2,800",$0,$0,"$1,680",$0,"$4,480",317275378.0
FTA Penalty,$0,$0,$0,$0,$0,$0,317275378.0
Initial Violations,1,,,,,1,316547587.0
Current Violations,1,,,,,1,316547587.0
Initial Penalty,"$2,975",$0,$0,$0,$0,"$2,975",316547587.0
Current Penalty,"$1,934",$0,$0,$0,$0,"$1,934",316547587.0
FTA Penalty,$0,$0,$0,$0,$0,$0,316547587.0
Initial Violations,,,,1,,1,316754340.0
Current Violations,,,,1,,1,316754340.0
Initial Penalty,$0,$0,$0,$0,$0,$0,316754340.0
Current Penalty,$0,$0,$0,$0,$0,$0,316754340.0
FTA Penalty,$0,$0,$0,$0,$0,$0,316754340.0
Initial Violations,,,,3,,3,313826208.0
Current Violations,,,,3,,3,313826208.0
Initial Penalty,$0,$0,$0,$0,$0,$0,313826208.0
Current Penalty,$0,$0,$0,$0,$0,$0,313826208.0
FTA Penalty,$0,$0,$0,$0,$0,$0,313826208.0
Initial Violations,1,,,5,,6,314021304.0
Current Violations,,,,6,,6,314021304.0
Initial Penalty,"$2,750",$0,$0,$0,$0,"$2,750",314021304.0
Current Penalty,$0,$0,$0,$975,$0,$975,314021304.0
FTA Penalty,$0,$0,$0,$0,$0,$0,314021304.0
